
 Pensionskasse: N 656
 Erwartungswert: 2119206.848339998
 0.0 ES  Index 0.0 Prob 1.0 E((S-X)+) 2119147.8
 0.05 ES  Index 42.0 Prob 0.9962055 E((S-X)+) 2118959.5
 0.1 ES  Index 85.0 Prob 0.9932121 E((S-X)+) 2118481.0
 0.15 ES  Index 127.0 Prob 0.99045783 E((S-X)+) 2117751.0
 0.2 ES  Index 170.0 Prob 0.9829352 E((S-X)+) 2114917.5
 0.25 ES  Index 212.0 Prob 0.9707901 E((S-X)+) 2109112.0
 0.3 ES  Index 254.0 Prob 0.95854485 E((S-X)+) 2101990.2
 0.35 ES  Index 297.0 Prob 0.9440449 E((S-X)+) 2091974.5
 0.4 ES  Index 339.0 Prob 0.92307216 E((S-X)+) 2075270.9
 0.45 ES  Index 381.0 Prob 0.8976004 E((S-X)+) 2052363.2
 0.5 ES  Index 424.0 Prob 0.8702694 E((S-X)+) 2024880.2
 0.55 ES  Index 466.0 Prob 0.8400839 E((S-X)+) 1991289.4
 0.6 ES  Index 509.0 Prob 0.80375797 E((S-X)+) 1947021.4
 0.65 ES  Index 551.0 Prob 0.7655338 E((S-X)+) 1896411.2
 0.7 ES  Index 593.0 Prob 0.7260772 E((S-X)+) 1840023.1
 0.75 ES  Index 636.0 Prob 0.6833245 E((S-X)+) 1774372.8
 0.8 ES  Index 678.0 Prob 0.6394587 E((S-X)+) 1702367.1
 0.85 ES  Index 721.0 Prob 0.5940793 E((S-X)+) 1623067.8
 0.9 ES  Index 763.0 Prob 0.54990757 E((S-X)+) 1541185.2
 0.95 ES  Index 805.0 Prob 0.5058785 E((S-X)+) 1454945.9
 1.0 ES  Index 848.0 Prob 0.46152607 E((S-X)+) 1363368.6
 1.05 ES  Index 890.0 Prob 0.41964912 E((S-X)+) 1272457.8
 1.1 ES  Index 932.0 Prob 0.379503 E((S-X)+) 1181091.0
 1.15 ES  Index 975.0 Prob 0.34039655 E((S-X)+) 1087939.1
 1.2 ES  Index 1017.0 Prob 0.3044233 E((S-X)+) 998431.06
 1.25 ES  Index 1060.0 Prob 0.2700821 E((S-X)+) 909338.7
 1.3 ES  Index 1102.0 Prob 0.23905315 E((S-X)+) 825543.7
 1.35 ES  Index 1144.0 Prob 0.21054131 E((S-X)+) 745554.4
 1.4 ES  Index 1187.0 Prob 0.18394475 E((S-X)+) 668115.2
 1.45 ES  Index 1229.0 Prob 0.16044614 E((S-X)+) 597199.9
 1.5 ES  Index 1272.0 Prob 0.13883851 E((S-X)+) 529697.75
 1.55 ES  Index 1314.0 Prob 0.12000824 E((S-X)+) 468871.47
 1.6 ES  Index 1356.0 Prob 0.10328264 E((S-X)+) 413088.47
 1.65 ES  Index 1399.0 Prob 0.08818481 E((S-X)+) 361131.84
 1.7 ES  Index 1441.0 Prob 0.07526157 E((S-X)+) 315285.53
 1.75 ES  Index 1483.0 Prob 0.0639791 E((S-X)+) 274075.84
 1.8 ES  Index 1526.0 Prob 0.053961042 E((S-X)+) 236421.12
 1.85 ES  Index 1568.0 Prob 0.04551897 E((S-X)+) 203792.89
 1.9 ES  Index 1611.0 Prob 0.038098987 E((S-X)+) 174327.44
 1.95 ES  Index 1653.0 Prob 0.031906288 E((S-X)+) 149077.5
 2.0 ES  Index 1695.0 Prob 0.02662794 E((S-X)+) 127001.69
 2.05 ES  Index 1738.0 Prob 0.022050565 E((S-X)+) 107371.73
 2.1 ES  Index 1780.0 Prob 0.018279945 E((S-X)+) 90800.75
 2.15 ES  Index 1823.0 Prob 0.0150369825 E((S-X)+) 76204.49
 2.2 ES  Index 1865.0 Prob 0.012386749 E((S-X)+) 63994.35
 2.25 ES  Index 1907.0 Prob 0.010172886 E((S-X)+) 53562.273
 2.3 ES  Index 1950.0 Prob 0.008290344 E((S-X)+) 44491.617
 2.35 ES  Index 1992.0 Prob 0.006768747 E((S-X)+) 36998.36
 2.4 ES  Index 2034.0 Prob 0.005510996 E((S-X)+) 30672.414
 2.45 ES  Index 2077.0 Prob 0.004452446 E((S-X)+) 25236.006
 2.5 ES  Index 2119.0 Prob 0.0036053823 E((S-X)+) 20795.686
 2.55 ES  Index 2162.0 Prob 0.0028970337 E((S-X)+) 17007.33
 2.6 ES  Index 2204.0 Prob 0.0023337267 E((S-X)+) 13934.793
 2.65 ES  Index 2246.0 Prob 0.0018752931 E((S-X)+) 11386.16
 2.7 ES  Index 2289.0 Prob 0.001495329 E((S-X)+) 9233.445
 2.75 ES  Index 2331.0 Prob 0.0011957787 E((S-X)+) 7504.4746
 2.8 ES  Index 2374.0 Prob 0.00094888016 E((S-X)+) 6053.1987
 2.85 ES  Index 2416.0 Prob 0.0007552866 E((S-X)+) 4894.669
 2.9 ES  Index 2458.0 Prob 0.0005998597 E((S-X)+) 3948.2246
 2.95 ES  Index 2501.0 Prob 0.0004727475 E((S-X)+) 3160.7065
 3.0 ES  Index 2543.0 Prob 0.0003738352 E((S-X)+) 2537.3835
 3.05 ES  Index 2585.0 Prob 0.00029500373 E((S-X)+) 2032.3292
 3.1 ES  Index 2628.0 Prob 0.00023099837 E((S-X)+) 1615.4695
 3.15 ES  Index 2670.0 Prob 0.00018154435 E((S-X)+) 1288.1227
 3.2 ES  Index 2713.0 Prob 0.00014157438 E((S-X)+) 1019.3106
 3.25 ES  Index 2755.0 Prob 0.00011082931 E((S-X)+) 809.27014
 3.3 ES  Index 2797.0 Prob 8.659782e-05 E((S-X)+) 641.1846
