Year   Age   Cohort      Female        Male       Total
 1922    0      1922   219060.01   227625.64   446685.65
 1922    0      1921   227789.53   234296.31   462085.84
 1922    1      1921   223022.03   228102.78   451124.81
 1922    1      1920   229458.79   235884.99   465343.78
 1922    2      1920   227286.27   233380.87   460667.14
 1922    2      1919   200291.46   205721.51   406012.96
 1922    3      1919   199629.79   204948.19   404577.98
 1922    3      1918   159742.85   162689.03   322431.88
 1922    4      1918   158834.90   161767.76   320602.66
 1922    4      1917   167190.57   169680.61   336871.18
 1922    5      1917   166028.10   168520.07   334548.17
 1922    5      1916   183488.22   186674.97   370163.19
 1922    6      1916   182614.05   185735.73   368349.79
 1922    6      1915   197206.06   199403.31   396609.37
 1922    7      1915   196339.43   198433.63   394773.06
 1922    7      1914   208071.87   208687.08   416758.95
 1922    8      1914   207692.17   208133.90   415826.07
 1922    8      1913   210357.31   210890.38   421247.69
 1922    9      1913   210015.51   210393.27   420408.78
 1922    9      1912   208142.94   210088.86   418231.81
 1922   10      1912   208016.09   209719.57   417735.67
 1922   10      1911   207108.17   209572.27   416680.44
 1922   11      1911   207070.24   208899.87   415970.11
 1922   11      1910   209478.92   211189.82   420668.73
 1922   12      1910   209405.05   210214.71   419619.75
 1922   12      1909   213020.19   214403.28   427423.46
 1922   13      1909   212850.10   213082.73   425932.82
 1922   13      1908   215571.63   216297.36   431868.99
 1922   14      1908   214910.48   214144.07   429054.54
 1922   14      1907   214094.44   214314.91   428409.35
 1922   15      1907   213393.13   212008.02   425401.15
 1922   15      1906   210660.50   210616.85   421277.35
 1922   16      1906   210280.78   208790.89   419071.67
 1922   16      1905   209356.77   208202.89   417559.66
 1922   17      1905   209014.00   206684.43   415698.42
 1922   17      1904   207193.56   203372.36   410565.92
 1922   18      1904   206966.13   202426.93   409393.06
 1922   18      1903   205775.57   199394.61   405170.19
 1922   19      1903   205450.74   198773.40   404224.14
 1922   19      1902   205270.96   195825.82   401096.78
 1922   20      1902   204579.11   195277.26   399856.37
 1922   20      1901   202015.05   186878.39   388893.44
 1922   21      1901   201196.25   186756.62   387952.87
 1922   21      1900   201328.04   180917.87   382245.91
 1922   22      1900   200734.62   181284.82   382019.44
 1922   22      1899   198728.40   172667.58   371395.98
 1922   23      1899   197536.55   172251.41   369787.96
 1922   23      1898   195033.95   163470.59   358504.54
 1922   24      1898   193852.77   162648.96   356501.72
 1922   24      1897   195291.30   160516.88   355808.17
 1922   25      1897   193894.90   159576.47   353471.37
 1922   25      1896   193071.41   157720.34   350791.75
 1922   26      1896   191739.87   156915.69   348655.55
 1922   26      1895   190390.44   156296.23   346686.67
 1922   27      1895   188914.12   155295.60   344209.72
 1922   27      1894   186850.84   155039.46   341890.30
 1922   28      1894   185408.91   153862.30   339271.22
 1922   28      1893   185233.78   154298.98   339532.76
 1922   29      1893   183879.78   153012.63   336892.41
 1922   29      1892   183136.89   153198.93   336335.82
 1922   30      1892   182455.63   152536.70   334992.33
 1922   30      1891   183303.62   152902.57   336206.19
 1922   31      1891   182273.30   152390.77   334664.07
 1922   31      1890   177913.89   149198.89   327112.78
 1922   32      1890   176673.44   148768.42   325441.86
 1922   32      1889   170287.07   144534.00   314821.06
 1922   33      1889   168958.68   144045.19   313003.87
 1922   33      1888   172863.13   146580.69   319443.81
 1922   34      1888   172336.86   146404.52   318741.38
 1922   34      1887   170150.51   144935.59   315086.10
 1922   35      1887   169465.04   144290.77   313755.81
 1922   35      1886   169493.80   144143.65   313637.45
 1922   36      1886   168587.30   143484.00   312071.30
 1922   36      1885   169891.12   145469.39   315360.51
 1922   37      1885   168956.37   145008.02   313964.39
 1922   37      1884   165432.93   143333.43   308766.36
 1922   38      1884   164391.27   142549.02   306940.29
 1922   38      1883   166807.50   144017.56   310825.06
 1922   39      1883   165485.25   142800.94   308286.19
 1922   39      1882   168715.21   146762.09   315477.29
 1922   40      1882   167649.71   145887.20   313536.90
 1922   40      1881   168639.47   148387.75   317027.23
 1922   41      1881   167574.16   147835.72   315409.88
 1922   41      1880   162954.75   144313.59   307268.33
 1922   42      1880   162147.50   143911.71   306059.21
 1922   42      1879   155224.67   138422.22   293646.90
 1922   43      1879   153965.94   137549.10   291515.04
 1922   43      1878   156655.26   138681.63   295336.89
 1922   44      1878   155577.98   137853.41   293431.38
 1922   44      1877   150756.13   135293.48   286049.61
 1922   45      1877   149882.29   134493.45   284375.74
 1922   45      1876   150068.55   137203.89   287272.44
 1922   46      1876   149214.84   136228.11   285442.94
 1922   46      1875   147664.39   137378.44   285042.83
 1922   47      1875   146506.50   136160.20   282666.70
 1922   47      1874   139965.00   131945.32   271910.33
 1922   48      1874   138821.82   130815.75   269637.57
 1922   48      1873   140401.69   131932.15   272333.83
 1922   49      1873   138854.53   130548.98   269403.51
 1922   49      1872   138304.55   129419.31   267723.86
 1922   50      1872   137035.73   128339.27   265375.00
 1922   50      1871   135859.88   126674.69   262534.57
 1922   51      1871   134224.10   125252.98   259477.08
 1922   51      1870   126921.71   119131.79   246053.50
 1922   52      1870   125604.33   117758.14   243362.47
 1922   52      1869   115745.02   110023.11   225768.13
 1922   53      1869   114358.14   108575.73   222933.87
 1922   53      1868   115713.45   107735.39   223448.84
 1922   54      1868   114519.55   106437.20   220956.75
 1922   54      1867   111888.28   103445.46   215333.73
 1922   55      1867   110830.52   102173.75   213004.27
 1922   55      1866   107053.93    98516.65   205570.58
 1922   56      1866   106192.39    97374.04   203566.43
 1922   56      1865   102575.14    95185.04   197760.19
 1922   57      1865   101888.68    93953.86   195842.54
 1922   57      1864    98177.30    91196.43   189373.73
 1922   58      1864    97190.25    89778.82   186969.06
 1922   58      1863    95847.29    87490.95   183338.24
 1922   59      1863    94709.45    86193.09   180902.54
 1922   59      1862    93049.29    84167.65   177216.94
 1922   60      1862    91847.14    82850.75   174697.90
 1922   60      1861    90627.19    81182.03   171809.22
 1922   61      1861    89369.72    79728.67   169098.39
 1922   61      1860    85180.64    76105.04   161285.68
 1922   62      1860    84135.53    74589.26   158724.79
 1922   62      1859    75574.33    67660.07   143234.40
 1922   63      1859    74722.55    66244.74   140967.29
 1922   63      1858    74783.09    65085.69   139868.78
 1922   64      1858    73695.02    63507.04   137202.07
 1922   64      1857    72147.72    62165.25   134312.98
 1922   65      1857    70903.70    60539.83   131443.53
 1922   65      1856    70653.90    60453.34   131107.24
 1922   66      1856    69313.61    58803.93   128117.53
 1922   66      1855    66939.71    56602.20   123541.92
 1922   67      1855    65584.15    54967.51   120551.66
 1922   67      1854    60463.10    50656.05   111119.14
 1922   68      1854    59195.75    49080.43   108276.18
 1922   68      1853    58438.09    48302.55   106740.64
 1922   69      1853    56913.94    46524.34   103438.28
 1922   69      1852    57252.12    46383.90   103636.02
 1922   70      1852    55489.49    44486.87    99976.36
 1922   70      1851    54498.56    42645.31    97143.87
 1922   71      1851    52660.11    40800.75    93460.85
 1922   71      1850    48381.80    36599.91    84981.71
 1922   72      1850    46619.80    34914.04    81533.84
 1922   72      1849    42659.15    31621.85    74281.00
 1922   73      1849    40724.86    29874.44    70599.30
 1922   73      1848    40383.51    29311.83    69695.33
 1922   74      1848    38278.25    27430.34    65708.58
 1922   74      1847    36344.53    25858.82    62203.35
 1922   75      1847    34236.72    23980.91    58217.63
 1922   75      1846    33569.48    23315.38    56884.86
 1922   76      1846    31460.18    21546.09    53006.27
 1922   76      1845    31192.89    21180.74    52373.62
 1922   77      1845    29107.27    19515.22    48622.50
 1922   77      1844    27712.82    18398.71    46111.53
 1922   78      1844    25810.73    16863.19    42673.92
 1922   78      1843    23802.73    15523.74    39326.48
 1922   79      1843    22119.26    14124.05    36243.31
 1922   79      1842    20195.02    13120.05    33315.07
 1922   80      1842    19225.40    11886.77    31112.17
 1922   80      1841    18625.03    11511.70    30136.74
 1922   81      1841    17052.42    10345.27    27397.69
 1922   81      1840    16594.28     9847.59    26441.86
 1922   82      1840    15050.79     8764.64    23815.42
 1922   82      1839    13809.46     7867.28    21676.73
 1922   83      1839    12384.42     6896.82    19281.23
 1922   83      1838    10951.99     6069.43    17021.41
 1922   84      1838     9698.30     5262.85    14961.15
 1922   84      1837     8969.06     4867.05    13836.12
 1922   85      1837     7832.39     4173.46    12005.85
 1922   85      1836     7146.31     3770.56    10916.86
 1922   86      1836     6195.29     3210.95     9406.24
 1922   86      1835     5622.00     2837.98     8459.98
 1922   87      1835     4809.02     2375.94     7184.97
 1922   87      1834     4405.68     2095.26     6500.94
 1922   88      1834     3736.08     1733.46     5469.55
 1922   88      1833     3426.66     1586.51     5013.17
 1922   89      1833     2879.95     1304.81     4184.76
 1922   89      1832     2545.88     1152.95     3698.83
 1922   90      1832     2104.94      932.70     3037.64
 1922   90      1831     1853.29      804.63     2657.92
 1922   91      1831     1517.05      639.84     2156.89
 1922   91      1830     1414.31      582.23     1996.54
 1922   92      1830     1156.77      452.65     1609.42
 1922   92      1829     1007.65      407.67     1415.32
 1922   93      1829      810.66      311.16     1121.81
 1922   93      1828      695.71      278.44      974.15
 1922   94      1828      544.61      211.30      755.91
 1922   94      1827      486.83      183.87      670.70
 1922   95      1827      373.18      136.94      510.12
 1922   95      1826      327.63      118.94      446.57
 1922   96      1826      246.88       86.97      333.85
 1922   96      1825      221.23       74.53      295.76
 1922   97      1825      160.55       52.44      212.99
 1922   97      1824      140.97       50.20      191.17
 1922   98      1824       97.60       35.79      133.39
 1922   98      1823       85.63       29.85      115.48
 1922   99      1823       57.72       20.54       78.26
 1922   99      1822       51.03       15.67       66.70
 1922   100     1822       36.04       10.28       46.32
 1922   100     1821       32.02        9.58       41.60
 1922   101     1821       23.41        7.00       30.41
 1922   101     1820       19.84        5.09       24.93
 1922   102     1820       13.73        3.81       17.54
 1922   102     1819       10.46        3.56       14.02
 1922   103     1819        7.08        2.23        9.31
 1922   103     1818        6.04        1.78        7.81
 1922   104     1818        4.14        0.96        5.10
 1922   104     1817        3.75        0.47        4.22
 1922   105     1817        2.86        0.47        3.33
 1922   105     1816        1.90        0.27        2.17
 1922   106     1816        1.57        0.09        1.66
 1922   106     1815        0.64        0.15        0.79
 1922   107     1815        0.48        0.00        0.48
 1922   107     1814        0.00        0.00        0.00
 1922   108     1814        0.00        0.00        0.00
 1922   108     1813        0.00        0.00        0.00
 1922   109     1813        0.00        0.00        0.00
 1922   109     1812        0.00        0.00        0.00
 1922   110      0       0.00        0.00        0.00
 1923    0      1923   213124.23   220906.16   434030.39
 1923    0      1922   214131.07   220919.50   435050.57
 1923    1      1922   210140.50   215612.01   425752.50
 1923    1      1921   221375.61   226254.21   447629.81
 1923    2      1921   219601.42   224306.83   443908.25
 1923    2      1920   226498.53   232521.32   459019.85
 1923    3      1920   225524.73   231382.02   456906.74
 1923    3      1919   199281.83   204565.98   403847.81
 1923    4      1919   198859.28   204040.47   402899.76
 1923    4      1918   158615.07   161544.16   320159.23
 1923    5      1918   158186.25   161109.66   319295.91
 1923    5      1917   165839.55   168324.99   334164.54
 1923    6      1917   165170.51   167744.20   332914.71
 1923    6      1916   182441.71   185552.12   367993.82
 1923    7      1916   182030.43   185228.03   367258.47
 1923    7      1915   196192.64   198272.56   394465.20
 1923    8      1915   195613.31   197749.23   393362.54
 1923    8      1914   207561.59   207990.37   415551.96
 1923    9      1914   207159.58   207529.63   414689.21
 1923    9      1913   209890.75   210261.52   420152.26
 1923   10      1913   209306.17   209353.59   418659.76
 1923   10      1912   207899.75   209600.43   417500.17
 1923   11      1912   207540.34   208607.89   416148.23
 1923   11      1911   206963.10   208786.29   415749.39
 1923   12      1911   206651.31   207557.49   414208.80
 1923   12      1910   209288.84   210100.97   419389.81
 1923   13      1910   208866.18   208582.62   417448.80
 1923   13      1909   212718.00   212962.83   425680.83
 1923   14      1909   212353.00   211363.76   423716.76
 1923   14      1908   214762.72   214007.04   428769.76
 1923   15      1908   214324.06   212069.70   426393.76
 1923   15      1907   213236.72   211857.89   425094.61
 1923   16      1907   212917.76   209968.87   422886.64
 1923   16      1906   210105.13   208626.02   418731.15
 1923   17      1906   209878.47   206999.19   416877.66
 1923   17      1905   208835.61   206497.40   415333.01
 1923   18      1905   208522.35   204920.95   413443.30
 1923   18      1904   206774.98   202223.99   408998.97
 1923   19      1904   206530.32   201080.95   407611.26
 1923   19      1903   205248.47   198559.22   403807.69
 1923   20      1903   204709.61   197340.10   402049.71
 1923   20      1902   204370.04   195055.53   399425.57
 1923   21      1902   203493.23   193758.76   397251.99
 1923   21      1901   200984.06   186542.14   387526.20
 1923   22      1901   200163.78   185840.30   386004.08
 1923   22      1900   200518.16   181067.25   381585.41
 1923   23      1900   199998.37   180962.75   380961.12
 1923   23      1899   197327.66   172038.75   369366.41
 1923   24      1899   196137.02   171342.30   367479.32
 1923   24      1898   193632.65   162431.02   356063.67
 1923   25      1898   192309.10   161432.22   353741.31
 1923   25      1897   193673.94   159374.85   353048.78
 1923   26      1897   192101.10   158092.04   350193.14
 1923   26      1896   191519.82   156712.60   348232.42
 1923   27      1896   190134.23   155541.22   345675.45
 1923   27      1895   188682.69   155089.29   343771.98
 1923   28      1895   187275.20   153842.30   341117.50
 1923   28      1894   185176.75   153655.54   338832.30
 1923   29      1894   183885.68   152386.40   336272.08
 1923   29      1893   183650.02   152796.11   336446.13
 1923   30      1893   182373.29   151596.50   333969.79
 1923   30      1892   182223.17   152332.29   334555.45
 1923   31      1892   181392.78   151667.80   333060.57
 1923   31      1891   182039.99   152175.94   334215.93
 1923   32      1891   180848.69   151423.19   332271.88
 1923   32      1890   176436.45   148536.96   324973.40
 1923   33      1890   175497.35   147995.59   323492.94
 1923   33      1889   168718.96   143811.88   312530.83
 1923   34      1889   167731.53   143225.42   310956.95
 1923   34      1888   172094.02   146164.44   318258.46
 1923   35      1888   171596.57   145862.94   317459.52
 1923   35      1887   169214.74   144036.09   313250.82
 1923   36      1887   168492.84   143420.23   311913.07
 1923   36      1886   168328.43   143224.18   311552.61
 1923   37      1886   167258.03   142405.05   309663.08
 1923   37      1885   168694.94   144734.91   313429.86
 1923   38      1885   167578.37   143914.71   311493.08
 1923   38      1884   164102.58   142236.99   306339.56
 1923   39      1884   163069.67   141332.93   304402.59
 1923   39      1883   165199.50   142487.45   307686.95
 1923   40      1883   163995.60   141458.46   305454.06
 1923   40      1882   167356.15   145567.10   312923.25
 1923   41      1882   166278.10   144720.83   310998.93
 1923   41      1881   167279.92   147514.98   314794.90
 1923   42      1881   166041.03   146690.94   312731.97
 1923   42      1880   161821.52   143534.65   305356.17
 1923   43      1880   160975.24   142931.89   303907.13
 1923   43      1879   153654.01   137186.12   290840.13
 1923   44      1879   152382.68   136214.10   288596.78
 1923   44      1878   155257.23   137489.16   292746.38
 1923   45      1878   154220.97   136656.58   290877.55
 1923   45      1877   149545.31   134079.84   283625.15
 1923   46      1877   148921.10   133458.41   282379.50
 1923   46      1876   148862.58   135806.54   284669.12
 1923   47      1876   148130.46   134984.63   283115.09
 1923   47      1875   146145.45   135732.69   281878.14
 1923   48      1875   145032.88   134630.35   279663.22
 1923   48      1874   138425.16   130350.18   268775.34
 1923   49      1874   137465.63   129345.77   266811.40
 1923   49      1873   138452.08   130063.87   268515.95
 1923   50      1873   137014.98   128596.64   265611.62
 1923   50      1872   136614.13   127832.38   264446.51
 1923   51      1872   135256.51   126483.36   261739.87
 1923   51      1871   133817.33   124782.30   258599.63
 1923   52      1871   132003.74   123076.96   255080.69
 1923   52      1870   125138.73   117204.86   242343.59
 1923   53      1870   123815.07   115706.56   239521.63
 1923   53      1869   113888.90   108015.60   221904.50
 1923   54      1869   112613.41   106586.78   219200.19
 1923   54      1868   114018.47   105859.55   219878.03
 1923   55      1868   112966.98   104663.27   217630.25
 1923   55      1867   110380.69   101619.21   211999.90
 1923   56      1867   109498.65   100533.55   210032.19
 1923   56      1866   105680.01    96757.12   202437.13
 1923   57      1866   104865.49    95734.35   200599.85
 1923   57      1865   101369.78    93316.38   194686.16
 1923   58      1865   100687.41    92133.05   192820.46
 1923   58      1864    96622.56    89090.65   185713.21
 1923   59      1864    95627.86    87665.71   183293.56
 1923   59      1863    94124.90    85486.88   179611.78
 1923   60      1863    93066.64    84188.03   177254.67
 1923   60      1862    91253.26    82160.41   173413.67
 1923   61      1862    90157.35    80770.02   170927.38
 1923   61      1861    88786.53    79045.61   167832.14
 1923   62      1861    87487.09    77390.13   164877.22
 1923   62      1860    83458.98    73794.05   157253.03
 1923   63      1860    82385.88    72174.49   154560.37
 1923   63      1859    74014.19    65436.09   139450.28
 1923   64      1859    73259.97    64103.91   137363.88
 1923   64      1858    72985.55    62708.75   135694.29
 1923   65      1858    72023.15    61288.72   133311.87
 1923   65      1857    70144.82    59679.94   129824.76
 1923   66      1857    69176.52    58382.85   127559.36
 1923   66      1856    68600.02    57997.67   126597.69
 1923   67      1856    67466.28    56624.90   124091.18
 1923   67      1855    64823.49    54142.78   118966.27
 1923   68      1855    63541.00    52631.93   116172.92
 1923   68      1854    58364.95    48178.27   106543.22
 1923   69      1854    57200.00    46733.83   103933.83
 1923   69      1853    56068.77    45623.69   101692.46
 1923   70      1853    54505.04    43884.02    98389.06
 1923   70      1852    54593.78    43605.51    98199.29
 1923   71      1852    52614.42    41613.60    94228.02
 1923   71      1851    51778.71    39957.33    91736.04
 1923   72      1851    49652.39    37932.62    87585.01
 1923   72      1850    45636.26    33989.71    79625.97
 1923   73      1850    43746.04    32209.76    75955.80
 1923   73      1849    39761.33    28999.31    68760.64
 1923   74      1849    37936.60    27320.77    65257.37
 1923   74      1848    37352.16    26578.54    63930.71
 1923   75      1848    35467.02    24904.88    60371.89
 1923   75      1847    33317.72    23180.93    56498.65
 1923   76      1847    31552.47    21627.10    53179.57
 1923   76      1846    30520.45    20744.89    51265.34
 1923   77      1846    28818.69    19275.38    48094.08
 1923   77      1845    28217.52    18776.84    46994.36
 1923   78      1845    26488.52    17352.06    43840.57
 1923   78      1844    24916.03    16137.18    41053.22
 1923   79      1844    23271.12    14818.60    38089.71
 1923   79      1843    21296.57    13472.61    34769.19
 1923   80      1843    20045.21    12187.28    32232.48
 1923   80      1842    18453.94    11298.24    29752.18
 1923   81      1842    17022.09    10231.11    27253.19
 1923   81      1841    16327.80     9821.31    26149.11
 1923   82      1841    14930.40     8815.15    23745.55
 1923   82      1840    14308.73     8246.17    22554.90
 1923   83      1840    12935.13     7306.62    20241.75
 1923   83      1839    11733.01     6463.68    18196.69
 1923   84      1839    10501.72     5678.11    16179.83
 1923   84      1838     9110.59     4901.71    14012.30
 1923   85      1838     8070.48     4250.79    12321.27
 1923   85      1837     7343.33     3868.87    11212.20
 1923   86      1837     6453.70     3298.44     9752.14
 1923   86      1836     5768.20     2951.87     8720.06
